Index,Image URL,Title,Description,URL,Publication Details
0,https://c.ndtvimg.com/2020-05/c6a3o12_ikea240_240x180_11_May_20.jpg,"""Emotional But Rational Move"": Ikea Stops Print Catalogue After 70 Years","Swedish furniture giant Ikea said Monday it would stop printing its famed physical catalogue, printed yearly in tens of millions of copies, after 70 years, as customers move to digital alternatives.",https://www.ndtv.com/world-news/ikea-scraps-iconic-catalogue-after-70-years-2335433,"Agence France-Presse   | Monday December 07, 2020, Stockholm"
1,https://c.ndtvimg.com/2020-12/043j5sgg_ak-vs-ak-_120x90_07_December_20.jpg,AK Vs AK Trailer: Anil Kapoor And Anurag Kashyap's Rivalry Is As Real As It Gets. Surprise Cameo By Sonam Kapoor,"Anil Kapoor, not quite happy with the original trailer, also shared his ""real"" version of the trailer",https://www.ndtv.com/entertainment/ak-vs-ak-trailer-anil-kapoor-and-anurag-kashyaps-rivalry-is-as-real-as-it-gets-surprise-cameo-by-sonam-kapoor-2335432,"Written by Aakanksha Raghuvanshi  | Monday December 07, 2020, New Delhi"
2,https://c.ndtvimg.com/2020-12/3emjqlc8_south-africa-team-icctwitter_120x90_04_December_20.jpg,England Tour Of South Africa Postponed Midway After Covid Outbreak,"South Africa vs England: The ODI series between South Africa and England was postponed on Monday to ensure ""the mental and physical health and welfare of players from both teams,"" said ECB in a release.",https://sports.ndtv.com/cricket/england-tour-of-south-africa-postponed-after-covid-outbreak-2335431,"Kislaya Srivastava   | Monday December 07, 2020"
4,https://c.ndtvimg.com/2020-12/b6tt0lkk_rajinikanth-pti_120x90_05_December_20.jpg,"Rajinikanth Has Gurukripa, Is A Man Of His Word, Says His Elder Brother","Ahead of launching his political party next month, Tamil superstar Rajinikanth paid a visit to his elder brother R Sathyanarayana Rao in Bengaluru, where he grew up.",https://www.ndtv.com/south/rajinikanth-has-gurukripa-is-a-man-of-his-word-says-his-elder-brother-2335430,"Press Trust of India   | Monday December 07, 2020, Bengaluru"
5,https://c.ndtvimg.com/2020-12/j78m9aog_indianepal-intergovernmental-committee-_120x90_07_December_20.jpg,"India, Nepal Review Progress On Bilateral Trade And Economic Ties","A meeting of the India-Nepal Inter-Governmental Committee (IGC) on Trade and Transit was held today, during which both sides reviewed the progress made on wide-ranging bilateral agenda including review of treaties of trade and transit, stated the Indian embassy.",https://www.ndtv.com/india-news/india-nepal-review-progress-on-bilateral-trade-and-economic-ties-2335428,"ANI   | Monday December 07, 2020, Kathmandu"
6,https://i.ndtvimg.com/i/2017-12/peas_240x180_51513596046.jpg,Green Peas Health Benefits: Do Not Miss These Impressive Benefits Of Matar This Winter,Green peas are commonly available during the winter season. These can be added to your diet in several ways. Here are some notable health benefits of green peas you should not miss.,https://www.ndtv.com/health/green-peas-health-benefits-do-not-miss-these-impressive-benefits-of-matar-this-winter-2335416,"Written by Varsha Vats  | Monday December 07, 2020"
8,https://i.gadgets360cdn.com/large/gopro_hero9_black_review_thumb_1607345351400.jpg,GoPro Hero 9 Black Review,"The GoPro Hero 9 Black features a new sensor that supports up to 5K video recording, a bigger battery, and new features. All of this comes with a higher price tag to match. We review it to see if it’s worth getting over the Hero 8 Black.",https://gadgets.ndtv.com/cameras/news/gopro-hero-9-black-price-in-india-review-vs-hero-8-black-2335405,"Roydon Cerejo   | Monday December 07, 2020"
9,https://cache.careers360.mobi/media/presets/240X180/article_images/2020/12/7/IIT-Roorkee.jpg,IIT Roorkee Placements 2020: 632 Offers Made Till Day 6,"IIT Roorkee Placements 2020: By the end of day-six of the placement sessions, IIT Roorkee students had received 632 job offers from 147 recruiters.",https://www.ndtv.com/education/iit-roorkee-placements-2020-632-offers-made-till-day-6,"Edited by Bhoomika Aggarwal  | Monday December 07, 2020"
10,https://i.gadgets360cdn.com/large/bumble_small_1607346557336.jpg,"Bumble, OKCupid Android Apps Plagued With an Old Flaw That Puts Millions of Users’ Data at Risk: Check Point","Check Point notes that 13 percent of Google Play apps analysed by them in September used the Google Play Core library, and 8 percent of those apps continued to have a vulnerable version. Viber and Booking.com apps updated to patched versions after Check Point notified them about the vulnerability. Google acknowledged this bug in April and rated it an 8.8 out of 10 in severity.",https://gadgets.ndtv.com/apps/news/bumble-grindr-okcupid-viber-dangerous-security-risk-user-data-google-patch-rollout-april-2335424,"Tasneem Akolawala   | Monday December 07, 2020"
11,https://c.ndtvimg.com/2020-12/2fl66mcg_bala-devi-twitter_120x90_07_December_20.jpg,Bala Devi Becomes First Indian Woman Footballer To Score In Europe,Bala Devi scored in the 85th minute to open her account for Rangers FC as they defeated Motherwell 9-0 on Sunday.,https://sports.ndtv.com/football/rangers-fc-forward-bala-devi-becomes-first-indian-woman-footballer-to-score-in-europe-2335423,"Neelav Chakravarti   | Monday December 07, 2020"
12,https://cache.careers360.mobi/media/presets/240X180/article_images/2020/12/7/books.jpg,IIIT Delhi To Start Centre of Excellence On Light Fidelity,"As part of the Indraprastha Institute of Information Technology’s (IIIT-Delhi) new project, the centre will design relevant courses on LiFi and facilitate capacity building by research collaborations.",https://www.ndtv.com/education/iiit-delhi-start-centre-of-excellence-on-light-fidelity,"Edited by Mridusmita Deka  | Monday December 07, 2020"
